Sample_Index,NMDS1,NMDS2,Site,Plant,Plant_ID,Compartment
139,0.21094399525633845,-0.11704574006899333,1,10,1_10,Soil_p
149,-0.30142634944460023,-0.09747650399263398,2,1,2_1,Root
151,0.17057413599662957,-0.32310228318542117,2,1,2_1,Soil_1m
153,-0.026187660415021418,-0.012838922920325967,2,1,2_1,Soil_p
163,-0.28176970575323224,0.12625469083094745,2,2,2_2,Root
165,0.28398068304271934,-0.1224525500667569,2,2,2_2,Soil_1m
167,0.27135380238513324,-0.12901844747707902,2,2,2_2,Soil_p
177,-0.29400809875581146,0.06862086859370276,2,3,2_3,Root
179,0.2421703857772271,-0.11766960033272737,2,3,2_3,Soil_1m
181,0.0735042758700578,-0.25773343860054987,2,3,2_3,Soil_p
191,-0.2689892231890582,-0.01396506178982739,2,4,2_4,Root
193,0.12706206089808544,-0.02834412569536904,2,4,2_4,Soil_1m
195,0.03235790844349975,-0.01129654999731044,2,4,2_4,Soil_p
205,-0.25804711845569633,0.02651539799700376,2,5,2_5,Root
207,-0.07650068743491412,-0.1801276123948742,2,5,2_5,Soil_1m
209,0.07881171372456873,0.05311633757599051,2,5,2_5,Soil_p
219,-0.12510847114915608,-0.014413004734559389,2,6,2_6,Root
221,0.10405591783377907,-0.049954036714404695,2,6,2_6,Soil_1m
223,-0.12890788954268184,-0.05974975021255319,2,6,2_6,Soil_p
233,-0.348076960130971,0.04701719191747728,2,7,2_7,Root
235,0.40345707153484556,-0.08533674323625098,2,7,2_7,Soil_1m
237,-0.17195861041282168,0.005935638773641655,2,7,2_7,Soil_p
247,-0.21188616209856811,-0.05000595712263519,2,8,2_8,Root
249,0.3207969182734473,-0.019160193474601128,2,8,2_8,Soil_1m
251,-0.03151101482444703,-0.05449104674937048,2,8,2_8,Soil_p
261,-0.013430004749154343,-0.04985324060266037,2,9,2_9,Root
263,0.28336883437557214,-0.06164258762332313,2,9,2_9,Soil_1m
265,0.056302121852401694,-0.031702770160061296,2,9,2_9,Soil_p
275,-0.3333975922145514,0.00887396193524218,2,10,2_10,Root
277,0.1303817600292713,-0.18570889515844285,2,10,2_10,Soil_1m
279,0.05013415627439784,0.05413470179784366,2,10,2_10,Soil_p
289,0.23680609490194657,-1.089092871635187,3,1,3_1,Root
291,0.2619180528427619,-0.017495225023855573,3,1,3_1,Soil_1m
293,-0.007467471863500523,0.05096756626621715,3,1,3_1,Soil_p
303,-0.23237027476310407,-0.3685998123735386,3,2,3_2,Root
305,-0.07087806697247989,0.05726680366757346,3,2,3_2,Soil_1m
307,0.0697547142178441,0.11412563675590238,3,2,3_2,Soil_p
317,-0.0064847351475847085,0.06564269687038025,3,3,3_3,Root
319,0.22894640439867456,0.23470426163944239,3,3,3_3,Soil_1m
321,0.04561594606972054,0.08480403522865398,3,3,3_3,Soil_p
331,-0.30646685256838224,0.2979070653097056,3,4,3_4,Root
333,0.15368033104000156,0.2696781829526909,3,4,3_4,Soil_1m
335,0.18564103250809277,0.40068212927511215,3,4,3_4,Soil_p
345,-0.16294968114968417,0.17859923136596711,3,5,3_5,Root
347,0.07272096570755761,0.1774775722262071,3,5,3_5,Soil_1m
349,0.02363255265911134,0.3274106386273683,3,5,3_5,Soil_p
359,-0.11981963824304506,-0.21419787205604512,3,6,3_6,Root
361,0.0716819087804269,-0.1459509309357341,3,6,3_6,Soil_1m
363,0.06391748024430388,-0.07346045637665655,3,6,3_6,Soil_p
373,-0.19826222897699264,0.131066649803551,3,7,3_7,Root
375,0.06053469475097161,-0.2528960024395955,3,7,3_7,Soil_1m
377,0.06308128938428877,0.03659763578452679,3,7,3_7,Soil_p
