Sample_Index,NMDS1,NMDS2,Site,Plant,Plant_ID,Compartment
465,-0.5035462345478323,1.8826248247515212,4,4,4_4,Fruit_EP
467,0.48297064880144125,-0.07411595904224856,4,4,4_4,Leaf_EN
469,0.8388943201364824,0.21283604726172717,4,4,4_4,Leaf_EP
479,-1.1447647426516032,-0.39734248086860013,4,5,4_5,Fruit_EP
481,0.5869025977654058,-0.4046205587349224,4,5,4_5,Leaf_EN
483,1.211207222676704,-0.025716700465766757,4,5,4_5,Leaf_EP
491,-0.6396058130248935,-0.7671307206998278,4,6,4_6,Fruit_EN
493,-1.0153715869770354,-0.05740025423015543,4,6,4_6,Fruit_EP
495,0.5940885133495878,0.17729293056224538,4,6,4_6,Leaf_EN
497,0.721282278133962,0.18322004314498874,4,6,4_6,Leaf_EP
505,-0.5369445264246409,-0.6402665210953086,4,7,4_7,Fruit_EN
507,-0.6633637932595339,0.6517996209896899,4,7,4_7,Fruit_EP
509,0.5992034049091516,0.229001325338914,4,7,4_7,Leaf_EN
511,0.9271950242484744,0.22711046664782203,4,7,4_7,Leaf_EP
519,-0.4845771420426973,-1.1229234239286305,4,8,4_8,Fruit_EN
521,-0.8031350784643229,-0.12232499623879817,4,8,4_8,Fruit_EP
523,0.6052964723451747,-0.35412712664311885,4,8,4_8,Leaf_EN
525,0.8669339597073681,0.32190587583589975,4,8,4_8,Leaf_EP
533,-0.5364880448239913,-1.0049989510768937,4,9,4_9,Fruit_EN
535,-0.8991762938227477,1.4005520451786613,4,9,4_9,Fruit_EP
537,0.5117446852123727,-0.12201427711535093,4,9,4_9,Leaf_EN
539,0.5159458999857757,-0.05992865149869527,4,9,4_9,Leaf_EP
547,-0.32366179597306277,-0.7825331474459577,4,10,4_10,Fruit_EN
549,-0.9767293268869804,0.4875164064375759,4,10,4_10,Fruit_EP
561,-0.9785608398338603,-0.47226117534888934,5,1,5_1,Fruit_EN
563,-1.184636867692829,0.12337542959130367,5,1,5_1,Fruit_EP
565,0.17741247550815678,0.1912810269378897,5,1,5_1,Leaf_EN
567,0.5463173597462128,0.12844407961711207,5,1,5_1,Leaf_EP
575,-0.5350153642180944,-1.077873179391257,5,2,5_2,Fruit_EN
577,-0.790560078249498,0.41756438585406136,5,2,5_2,Fruit_EP
579,0.6587867724468099,-0.07390550403062875,5,2,5_2,Leaf_EN
581,0.7461193409386326,0.0020536608994676936,5,2,5_2,Leaf_EP
589,-1.32663872472598,1.5596690992779092,5,3,5_3,Fruit_EN
591,-0.7397849989697509,0.7561553075051327,5,3,5_3,Fruit_EP
593,0.45764800870583866,0.5631003640938603,5,3,5_3,Leaf_EN
595,0.41273006773916626,0.033935884818960926,5,3,5_3,Leaf_EP
603,-1.1134005458205676,-0.39977378738348324,5,4,5_4,Fruit_EN
605,-1.1207208447003492,-0.29852816856899567,5,4,5_4,Fruit_EP
607,0.4222361856995079,0.20550818226520684,5,4,5_4,Leaf_EN
609,0.3153382956033953,0.09855688649801317,5,4,5_4,Leaf_EP
617,-1.1242216958603704,-0.42820113189976855,5,5,5_5,Fruit_EN
619,-0.7277320432521136,-0.08042644764810357,5,5,5_5,Fruit_EP
621,0.3555473462603966,-0.41190706547289324,5,5,5_5,Leaf_EN
623,1.1406657631092774,-0.07734101443132782,5,5,5_5,Leaf_EP
631,-1.0355489246627059,-0.3944074943137581,5,6,5_6,Fruit_EN
633,-1.0941548406753219,-0.4554556917089279,5,6,5_6,Fruit_EP
635,0.6789161177160814,0.05630879561048897,5,6,5_6,Leaf_EN
637,0.8626146267886065,0.2022081092895809,5,6,5_6,Leaf_EP
647,-1.0850669528116248,-0.35595609346031004,5,7,5_7,Fruit_EP
649,0.38992071183459437,-0.062424429564375744,5,7,5_7,Leaf_EN
651,0.3938596827859322,0.06717148776113618,5,7,5_7,Leaf_EP
663,0.4589185393146569,-0.2021166121161475,5,8,5_8,Leaf_EN
665,0.20383831526518142,-0.07208836977095476,5,8,5_8,Leaf_EP
677,0.5834789981062274,-0.020523401359589563,5,9,5_9,Leaf_EN
679,0.9231458703079538,0.30193604734385227,5,9,5_9,Leaf_EP
691,-0.15887600703648924,0.17703196943267901,5,10,5_10,Leaf_EN
693,0.7607869208778111,0.686897735270583,5,10,5_10,Leaf_EP
