Site_1,Site_2,Same_Site,Plant_1,Plant_2,Plant_1_ID,Plant_2_ID,Pair,Soil_1m,Soil_p,Root,Leaf_EN,Leaf_EP,Fruit_EN,Fruit_EP
1,5,FALSE,2,3,1_2,5_3,1_2 vs 5_3,0.7964999896140418,0.39095179074684844,0.5559709771641328,0.6227677623586811,0.5297401071314375,NA,0.5641701929444136
1,5,FALSE,2,4,1_2,5_4,1_2 vs 5_4,0.53374397564328,0.48348205952271966,0.53794084814545,0.45148392908839646,0.49081332499620395,NA,0.5196919982573397
1,5,FALSE,2,5,1_2,5_5,1_2 vs 5_5,0.4662167878366903,0.39166535407169145,0.39252702390894195,0.4771313721264853,0.5231820795553767,NA,0.535000958286542
1,5,FALSE,2,6,1_2,5_6,1_2 vs 5_6,0.4737834645251767,0.3288695221598078,0.34903002199921357,0.30626484618517846,0.4420765628590365,NA,0.5814194829607497
1,5,FALSE,2,7,1_2,5_7,1_2 vs 5_7,0.5762202226042542,0.3140757981503195,0.3379628829998379,0.5164588652918599,0.6314180840651588,NA,0.5947707407207125
1,5,FALSE,2,8,1_2,5_8,1_2 vs 5_8,0.5162669447988562,0.4649189135998447,0.4002524166290706,0.47534891760045417,0.6894238649446977,NA,NA
1,5,FALSE,2,9,1_2,5_9,1_2 vs 5_9,0.48274916648444044,0.3556791611746082,0.2997295898349283,0.3250263065762313,0.48249436769971327,NA,NA
1,5,FALSE,2,10,1_2,5_10,1_2 vs 5_10,0.36994866372059,0.28613794424518163,0.4011270629282178,0.6650450291044546,0.4608778031137294,NA,NA
1,1,TRUE,3,4,1_3,1_4,1_3 vs 1_4,0.15584666471329545,0.3387366441824875,0.39201086510879213,0.18331541966699857,0.24139394558546617,NA,0.38726420787685817
1,1,TRUE,3,5,1_3,1_5,1_3 vs 1_5,0.2526628642406325,0.8068387234281038,0.2667983136906206,0.35566123154665846,0.27521499460461263,NA,0.40857979263448074
1,1,TRUE,3,6,1_3,1_6,1_3 vs 1_6,0.1963927771149411,0.25103699623653236,0.2505694103439621,0.2400527032626881,0.46101649808734796,NA,0.8581965365339691
1,1,TRUE,3,7,1_3,1_7,1_3 vs 1_7,0.26279010518903856,0.445846316237453,0.5027300774048249,0.29346817757721855,0.14035106414898385,NA,0.5417609754707485
1,1,TRUE,3,8,1_3,1_8,1_3 vs 1_8,0.2706911506781571,0.22668856735247805,0.31165186463291683,0.2869866364093,0.20542033005773874,NA,NA
1,1,TRUE,3,9,1_3,1_9,1_3 vs 1_9,0.47357962822799565,0.2650058625055706,0.2536817868016967,0.30012975632353445,0.540602392298082,NA,0.7945785555371981
1,1,TRUE,3,10,1_3,1_10,1_3 vs 1_10,0.2219917321580603,0.16926805621413724,0.673655093025636,0.34016592615253327,0.1382838707330966,NA,0.3787297482082299
1,2,FALSE,3,1,1_3,2_1,1_3 vs 2_1,0.2280707917439859,0.31562500751491285,0.39045032246174993,0.4638851514366194,0.658589920016522,NA,0.7972647502860816
1,2,FALSE,3,2,1_3,2_2,1_3 vs 2_2,0.24584373422226893,0.2289312067698857,0.4017050068350702,0.5525064586540762,0.6774506002695241,NA,0.4062049470748472
1,2,FALSE,3,3,1_3,2_3,1_3 vs 2_3,0.22311298457095385,0.30164176987587704,0.39643962097344904,0.44294263438360065,0.5256789794965283,NA,0.5363984696018592
1,2,FALSE,3,4,1_3,2_4,1_3 vs 2_4,0.25215611310690766,0.2665340458315433,0.34699494648487766,0.5765537770007867,0.5301501580570881,NA,0.9510369105389384
1,2,FALSE,3,5,1_3,2_5,1_3 vs 2_5,0.3766653206401398,0.3288887610686558,0.3379949644321651,0.5488657860473412,0.7918104311456085,NA,0.8966897915302983
1,2,FALSE,3,6,1_3,2_6,1_3 vs 2_6,0.2759926000539275,0.38178382558931195,0.2590278914345223,0.4780037480893283,0.530745540042781,NA,0.9496980960265464
1,2,FALSE,3,7,1_3,2_7,1_3 vs 2_7,0.3812963578766746,0.4073959380298538,0.34646307180133185,0.43462736395748813,0.5993443539692642,NA,0.7655568363005236
