Site_1,Site_2,Same_Site,Plant_1,Plant_2,Plant_1_ID,Plant_2_ID,Pair,Soil_1m,Soil_p,Root,Leaf_EN,Leaf_EP,Fruit_EN,Fruit_EP
1,2,FALSE,7,5,1_7,2_5,1_7 vs 2_5,0.37549064592052916,0.4006403139093524,0.5681328041850481,0.40127075293769365,0.7773710191912295,0.22032476416118799,0.965833099392131
1,2,FALSE,7,6,1_7,2_6,1_7 vs 2_6,0.29910753776740484,0.3644981025697481,0.48557500140300813,0.5223791795979029,0.5238161342902813,0.7453829733642829,0.8666539809359111
1,2,FALSE,7,7,1_7,2_7,1_7 vs 2_7,0.41198105651562256,0.31476048876844687,0.6036518518194485,0.46665722766007056,0.6062040238223788,0.7563156295785174,0.8334636555057617
1,2,FALSE,7,8,1_7,2_8,1_7 vs 2_8,0.45601469662972893,0.34510483120194957,0.5319858528026555,0.6079111856094923,0.6210073265982614,0.48331688748672247,0.6478044981335425
1,2,FALSE,7,9,1_7,2_9,1_7 vs 2_9,0.3690929937045939,0.3788864196849899,0.45693824593326116,0.5278473520533735,0.4669801126732911,0.402545403185242,0.5299762387048352
1,2,FALSE,7,10,1_7,2_10,1_7 vs 2_10,0.30326589890953165,0.3772437960762331,0.5091363403452503,0.5346984228815528,0.5645151134811871,0.9777568487155717,0.532334818189412
1,3,FALSE,7,3,1_7,3_3,1_7 vs 3_3,0.4520151048055885,0.4017947303892474,0.5512922239649016,0.3718985715382681,0.4597091939570466,0.8661365772871444,0.7691532964579911
1,3,FALSE,7,4,1_7,3_4,1_7 vs 3_4,0.4589904225366414,0.5375969368610055,0.6918915495006704,0.5045021162172678,0.5347943695265572,0.9671184084205225,0.5641129700193729
1,3,FALSE,7,5,1_7,3_5,1_7 vs 3_5,0.42924947937500446,0.46025694364254904,0.6422501365409012,0.3945782918284874,0.5125969949175572,0.4638630573624218,0.901897123198228
1,3,FALSE,7,6,1_7,3_6,1_7 vs 3_6,0.29307811332358485,0.396853466415896,0.5696102733405085,0.6645838939709146,0.5419312117947896,0.17212670831321786,0.4872865615717654
1,3,FALSE,7,7,1_7,3_7,1_7 vs 3_7,0.31181363194869516,0.39208848808621666,0.5847197451198579,0.45108774328608575,0.5220411886689291,0.1432329743128611,0.5085927829949637
1,3,FALSE,7,8,1_7,3_8,1_7 vs 3_8,0.2887088419063273,0.5781890200951618,0.5851023275198437,0.49993609736306055,0.5127393295100963,0.4462563224489588,0.583631409570794
1,4,FALSE,7,1,1_7,4_1,1_7 vs 4_1,0.31894742742481325,0.525193882883114,0.6570945945945947,0.43516546600936135,0.6070371896094485,0.9503666113683109,0.9625417386910238
1,4,FALSE,7,2,1_7,4_2,1_7 vs 4_2,0.4865366362500124,0.4084284965455085,0.6588491415150944,0.3436858322448148,0.5374735130831553,0.18294254265043886,0.8980029977471569
1,4,FALSE,7,3,1_7,4_3,1_7 vs 4_3,0.41796066214235933,0.607601072990825,0.5662592449937157,0.30242035236130366,0.4244035107114734,0.4648458573687337,0.4782926195675062
1,4,FALSE,7,4,1_7,4_4,1_7 vs 4_4,0.4245272827864893,0.36373317750984907,0.6511891484678686,0.2528982794741266,0.45038445465510424,0.3115396132010699,0.9099925896975691
1,4,FALSE,7,6,1_7,4_6,1_7 vs 4_6,0.5161866989653643,0.657249147009381,0.5260848696497022,0.31827553261496566,0.49619380820087666,0.18703845361994254,0.5028525179600233
1,4,FALSE,7,7,1_7,4_7,1_7 vs 4_7,0.7101053267377282,0.6972432913402207,0.6168378367772782,0.27093807891086386,0.494583211305599,0.25178559458388783,0.7996998907277809
1,4,FALSE,7,8,1_7,4_8,1_7 vs 4_8,0.5242348256382294,0.7117995706331115,0.6272426227332452,0.35739511353011366,0.534340089167998,0.3528587431428136,0.45519060661094185
1,4,FALSE,7,9,1_7,4_9,1_7 vs 4_9,0.47822386815678775,0.6085411856654472,0.7301446559171977,0.2823058282148931,0.47397541424994555,0.2988681733284557,0.5273591185977374
1,5,FALSE,7,1,1_7,5_1,1_7 vs 5_1,0.3338361120428629,0.43009664431402994,0.5829166183156036,0.5949365563543112,0.6735852643785748,0.49985867495951647,0.7468708301584209
1,5,FALSE,7,2,1_7,5_2,1_7 vs 5_2,0.4105642617944668,0.45850133653293185,0.7851902415343943,0.3165439723998111,0.536840471703354,0.36340381349272594,0.7837006437893577
1,5,FALSE,7,3,1_7,5_3,1_7 vs 5_3,0.7278232539370869,0.44029996075010874,0.49789895293093034,0.6029671676192679,0.5871321414586135,0.971184969797585,0.4673008304098901
1,5,FALSE,7,4,1_7,5_4,1_7 vs 5_4,0.4424116050448903,0.4535480961734408,0.520730313726021,0.4375146431370503,0.5419371659865083,0.5527151984634766,0.4261067291663463
1,5,FALSE,7,5,1_7,5_5,1_7 vs 5_5,0.4264212298114171,0.5062377238454044,0.5858512700268121,0.483810373052746,0.566632192935168,0.5456697997893359,0.5085779818311859
1,5,FALSE,7,6,1_7,5_6,1_7 vs 5_6,0.4562614226854554,0.4175738582030725,0.605806458415351,0.3343227697338409,0.5420550129076213,0.5376529063524733,0.4775970704792534
1,1,TRUE,9,10,1_9,1_10,1_9 vs 1_10,0.48575566185149055,0.2821514836774171,0.6245337215800192,0.48798148340402075,0.49458658165723046,0.46997240200249657,0.905879411905321
1,2,FALSE,9,1,1_9,2_1,1_9 vs 2_1,0.5575333979727666,0.20110970817817964,0.33149696289668146,0.5038177216095999,0.512291893952384,0.7060498177154285,0.6786518331566189
1,2,FALSE,9,2,1_9,2_2,1_9 vs 2_2,0.5492974415905412,0.3509411613300557,0.36288890820001185,0.5947888251533532,0.6648670423528901,0.5133142545444082,0.8934656540726341
1,2,FALSE,9,3,1_9,2_3,1_9 vs 2_3,0.5610001667164132,0.35606570516526226,0.3060410426710574,0.46597372875740556,0.4767229975081355,0.8183059960412054,0.7433610074663731
1,2,FALSE,9,4,1_9,2_4,1_9 vs 2_4,0.4658085152314219,0.1848606075158166,0.2889881692200743,0.6571859170853905,0.3603698411810575,0.932856990036102,0.7769998409286085
1,2,FALSE,9,5,1_9,2_5,1_9 vs 2_5,0.39969581366259294,0.274615151645056,0.27648904590760026,0.5910069162351811,0.7335124591835932,0.6588463353590138,0.8237453144964559
1,2,FALSE,9,6,1_9,2_6,1_9 vs 2_6,0.4490814602400219,0.2525049062797937,0.21674331411919653,0.4840568250928166,0.5725096709899193,0.9069695895303227,0.7822772878925948
1,2,FALSE,9,7,1_9,2_7,1_9 vs 2_7,0.6225477726648859,0.2914154812526836,0.32506799803950165,0.430253819653322,0.5994165152842958,0.8859321204675897,0.7008298603791511
1,2,FALSE,9,8,1_9,2_8,1_9 vs 2_8,0.5482763239061904,0.28572779528583564,0.2857168806589827,0.5694423124970565,0.6136397797859307,0.47602549540289074,0.5633369482731971
1,2,FALSE,9,9,1_9,2_9,1_9 vs 2_9,0.550959086377694,0.1749328519230197,0.20314424046325402,0.5236974994504534,0.41048353546198757,0.7312286438759924,0.8228925970531049
1,2,FALSE,9,10,1_9,2_10,1_9 vs 2_10,0.4799379186386168,0.2751941700968735,0.31157044496430286,0.5008776313385177,0.6610015818552079,0.9837129575521488,0.8415825804328422
1,3,FALSE,9,3,1_9,3_3,1_9 vs 3_3,0.5450171412999932,0.20321654456934551,0.27148315316311683,0.42462740675939886,0.3493085126499173,0.8411788687814402,0.7997639141087528
1,3,FALSE,9,4,1_9,3_4,1_9 vs 3_4,0.4861734729946648,0.4279689805086163,0.3854392165295169,0.5808938516708105,0.5018764013429494,0.941308197430106,0.681974673933951
1,3,FALSE,9,5,1_9,3_5,1_9 vs 3_5,0.41827101028083047,0.4271649183044112,0.3412684284189317,0.41993151328569783,0.4319303529908514,0.5437000693189052,0.7539220601818423
1,3,FALSE,9,6,1_9,3_6,1_9 vs 3_6,0.4411797054041854,0.20532263760221717,0.3257836578386084,0.7317528740419746,0.41329586077887104,0.4982632399701725,0.8076719803036507
1,3,FALSE,9,7,1_9,3_7,1_9 vs 3_7,0.46749697941457835,0.29409920602621253,0.28366476837929205,0.42545277003732435,0.44758803766742394,0.503791682949044,0.6564934892319014
1,3,FALSE,9,8,1_9,3_8,1_9 vs 3_8,0.4437406241280372,0.5227120546280097,0.3306038353267736,0.5257803241215857,0.41467706014621186,0.3393147510401758,0.8243565909769787
1,4,FALSE,9,1,1_9,4_1,1_9 vs 4_1,0.581666047103605,0.3912221461641155,0.7826117264672493,0.4845361948274228,0.6019926745329448,0.9575063852101232,0.6167936989560779
1,4,FALSE,9,2,1_9,4_2,1_9 vs 4_2,0.6911868385812173,0.3672645876220379,0.49242684133633013,0.483234243597888,0.48778708307211244,0.5885575964493375,0.578731489675565
1,4,FALSE,9,3,1_9,4_3,1_9 vs 4_3,0.6922955264761389,0.5169862171487127,0.32883202164520925,0.4100824796274586,0.3660622924796235,0.44686115809254945,0.8964541523388755
1,4,FALSE,9,4,1_9,4_4,1_9 vs 4_4,0.5345285009578653,0.5340139698135523,0.4102657836517199,0.32419585368635323,0.37936319337157626,0.5570497687239291,0.8221611838309354
1,4,FALSE,9,6,1_9,4_6,1_9 vs 4_6,0.6427202363671068,0.586039131345342,0.32356174121405545,0.43632077676715886,0.3662949761204917,0.6078249184770567,0.7768485548244554
1,4,FALSE,9,7,1_9,4_7,1_9 vs 4_7,0.7563830870017042,0.6405880911632865,0.3522264800058206,0.43836545691527157,0.21909877898348737,0.5575930813508339,0.7550952100965329
1,4,FALSE,9,8,1_9,4_8,1_9 vs 4_8,0.637339211142643,0.676229976931634,0.3450415869207912,0.34211757960012634,0.47213661106143295,0.7716540325120147,0.8111226443571755
1,4,FALSE,9,9,1_9,4_9,1_9 vs 4_9,0.612220744316222,0.559143173522885,0.5321043553116557,0.40759150343826955,0.4427915903140164,0.7250908454625469,0.7649299555694313
1,5,FALSE,9,1,1_9,5_1,1_9 vs 5_1,0.48096835144857003,0.263059801928718,0.3634015502604464,0.6660871395291046,0.6394416238768205,0.3491987145094187,0.8794225044018609
